                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.56639,                 1.0246,                0.50987,                 1.0042,                0.90179,                0.77204,                0.87546,                0.70994,                0.88975,                0.81219,                0.88652,                0.69058,                0.69372,                 1.4369,                0.61774,                 1.1493,              0.0013763,              0.0013763,              0.0013763
                     66,                0.56487,                 1.0151,                0.49981,                0.99643,                0.86786,                0.80764,                0.86944,                0.70836,                0.90799,                0.79236,                0.87693,                0.68107,                0.69165,                 1.3928,                0.58834,                 1.1458,              0.0013664,              0.0013664,              0.0013664
                     67,                0.56376,                 1.0277,                0.49623,                0.99414,                0.88465,                0.79132,                 0.8712,                0.70224,                0.89228,                 0.7949,                 0.8738,                0.67918,                0.68399,                  1.394,                0.59035,                 1.1508,              0.0013565,              0.0013565,              0.0013565
                     68,                0.56692,                 1.0333,                0.50757,                 0.9981,                0.86172,                0.79618,                0.86451,                  0.707,                0.87923,                0.80255,                 0.8754,                0.68079,                0.67527,                 1.4185,                0.60537,                 1.1433,              0.0013466,              0.0013466,              0.0013466
                     69,                 0.5604,                 1.0131,                0.50703,                0.99843,                0.89233,                0.80637,                0.87753,                 0.7169,                0.90394,                0.81401,                0.88097,                0.68831,                0.66163,                 1.3836,                 0.5704,                 1.1298,              0.0013367,              0.0013367,              0.0013367
                     70,                  0.551,                0.99044,                0.49611,                0.99234,                0.92227,                0.78726,                0.88517,                0.72052,                0.92706,                0.78981,                 0.8804,                0.69718,                0.65962,                   1.35,                0.58086,                 1.1305,              0.0013268,              0.0013268,              0.0013268
                     71,                0.54887,                0.98586,                0.48711,                0.99458,                0.88918,                0.81656,                0.88075,                0.72691,                0.91708,                0.81712,                0.88453,                0.69619,                0.65919,                 1.3747,                0.55393,                 1.1187,              0.0013169,              0.0013169,              0.0013169
                     72,                0.53665,                0.96661,                0.47707,                0.98148,                0.88862,                0.80293,                0.87167,                 0.7232,                0.89879,                0.81146,                0.88215,                0.69415,                0.65486,                 1.4112,                0.56345,                  1.122,               0.001307,               0.001307,               0.001307
                     73,                0.53942,                0.96497,                0.46744,                0.98293,                0.89043,                0.81788,                0.86758,                 0.7108,                0.90035,                0.81721,                0.87353,                0.68796,                0.68614,                  1.429,                0.58302,                 1.1504,              0.0012971,              0.0012971,              0.0012971
                     74,                 0.5437,                 0.9692,                0.48626,                0.99278,                0.87711,                0.80919,                0.87349,                 0.6994,                0.89762,                 0.8153,                0.87923,                0.67864,                0.71086,                 1.4174,                0.59087,                 1.1807,              0.0012872,              0.0012872,              0.0012872
                     75,                0.54168,                0.98299,                0.47551,                0.98498,                0.89051,                0.79778,                0.86926,                0.70523,                0.89802,                0.80764,                0.87543,                0.68395,                0.68505,                 1.3856,                0.56589,                 1.1525,              0.0012773,              0.0012773,              0.0012773
                     76,                0.53259,                0.96406,                0.47052,                0.98098,                 0.8901,                 0.8048,                0.86494,                0.71182,                0.91056,                0.81783,                0.87865,                0.68649,                0.65618,                 1.3922,                0.57681,                 1.1216,              0.0012674,              0.0012674,              0.0012674
                     77,                0.52644,                0.95377,                0.46934,                0.97403,                 0.8815,                0.81499,                0.87633,                0.70952,                0.90058,                0.81931,                0.88532,                0.68923,                0.67968,                 1.4022,                0.56736,                 1.1495,              0.0012575,              0.0012575,              0.0012575
                     78,                0.54509,                0.97812,                0.47943,                0.98558,                 0.8719,                0.82675,                0.87383,                0.71373,                0.89577,                0.82038,                0.88681,                0.69244,                0.68057,                 1.3976,                0.55773,                 1.1494,              0.0012476,              0.0012476,              0.0012476
                     79,                0.52912,                0.95896,                0.46656,                 0.9762,                0.88111,                0.81193,                0.87612,                0.71069,                 0.8893,                0.81871,                0.88275,                0.69462,                0.68046,                 1.3705,                0.55901,                 1.1489,              0.0012377,              0.0012377,              0.0012377
                     80,                0.52737,                0.94426,                0.45814,                0.97522,                0.90415,                0.81146,                0.87986,                0.72151,                0.92091,                0.81585,                0.88543,                 0.7076,                0.68487,                 1.4371,                0.53724,                 1.1597,              0.0012278,              0.0012278,              0.0012278
                     81,                0.51901,                0.92061,                0.44627,                0.97172,                0.89842,                0.79745,                0.87972,                0.72007,                0.90846,                0.80912,                0.88748,                0.70368,                0.67921,                 1.3452,                0.54974,                 1.1432,              0.0012179,              0.0012179,              0.0012179
                     82,                0.52609,                0.93108,                0.45857,                0.97203,                0.86102,                0.82548,                0.87249,                0.71641,                0.86207,                0.83185,                0.87421,                0.69797,                0.68622,                 1.4688,                0.56491,                 1.1622,               0.001208,               0.001208,               0.001208
                     83,                0.53154,                0.95954,                0.45948,                0.97709,                0.91168,                0.78899,                0.87664,                0.70935,                0.92494,                0.80764,                0.88615,                0.69254,                 0.6849,                 1.3495,                0.54903,                  1.146,              0.0011981,              0.0011981,              0.0011981
                     84,                0.50794,                0.92483,                0.45187,                 0.9683,                0.90767,                 0.8015,                0.88446,                  0.728,                 0.9192,                0.81157,                0.88571,                0.70547,                0.64993,                 1.3885,                0.57303,                 1.1168,              0.0011882,              0.0011882,              0.0011882
                     85,                0.51944,                 0.9488,                0.44273,                0.96858,                0.91102,                0.80868,                0.88204,                0.72355,                0.91536,                0.81286,                0.88191,                0.69986,                0.65389,                 1.3895,                0.55004,                 1.1314,              0.0011783,              0.0011783,              0.0011783
                     86,                0.51889,                0.94417,                0.45592,                 0.9731,                0.87334,                0.81783,                0.87896,                0.71281,                0.89822,                0.81656,                 0.8897,                0.69465,                0.67111,                 1.4584,                0.58407,                 1.1402,              0.0011684,              0.0011684,              0.0011684
                     87,                0.49854,                0.91193,                 0.4427,                0.95825,                0.87378,                0.81656,                0.87155,                0.70032,                0.91063,                0.81777,                0.88611,                 0.6853,                0.70891,                 1.4563,                0.57505,                 1.1766,              0.0011585,              0.0011585,              0.0011585
                     88,                0.51275,                0.93086,                 0.4432,                 0.9655,                0.89799,                0.80739,                0.87745,                0.71599,                0.91359,                0.82157,                0.89144,                0.69695,                0.66656,                 1.3162,                0.59963,                 1.1349,              0.0011486,              0.0011486,              0.0011486
                     89,                0.49621,                0.90357,                0.41946,                0.95811,                 0.9143,                0.78854,                0.86616,                0.71255,                0.92423,                0.80892,                0.87996,                0.69239,                0.66326,                 1.4154,                0.58942,                 1.1383,              0.0011387,              0.0011387,              0.0011387
                     90,                0.50201,                0.89969,                0.43184,                0.95986,                0.89175,                0.81854,                0.87188,                0.72558,                0.91175,                  0.816,                0.88297,                0.70888,                0.66067,                 1.3307,                0.54988,                 1.1368,              0.0011288,              0.0011288,              0.0011288
                     91,                0.49421,                0.89507,                 0.4282,                0.96009,                 0.8827,                0.79618,                0.86494,                0.71842,                0.87981,                0.82038,                0.87544,                0.69513,                0.64652,                 1.4411,                0.57656,                 1.1196,              0.0011189,              0.0011189,              0.0011189
                     92,                0.48477,                0.87949,                0.42418,                0.95135,                0.87981,                0.82993,                0.87802,                0.72697,                0.89028,                0.83312,                0.88294,                0.70415,                0.66262,                 1.3823,                0.52293,                 1.1461,               0.001109,               0.001109,               0.001109
                     93,                0.49424,                0.89364,                  0.424,                0.95435,                0.91048,                0.80892,                0.88489,                0.72123,                0.92195,                0.81911,                0.89072,                0.70305,                0.67897,                 1.3213,                0.53364,                 1.1487,              0.0010991,              0.0010991,              0.0010991
                     94,                0.49283,                0.87899,                0.41939,                0.95643,                0.89216,                0.82205,                 0.8852,                0.73506,                0.90189,                0.83144,                0.89292,                0.71672,                0.63702,                 1.3531,                0.54553,                 1.1142,              0.0010892,              0.0010892,              0.0010892
                     95,                0.48244,                 0.8785,                0.41141,                0.95294,                 0.9283,                0.79745,                0.87736,                0.72564,                0.94954,                0.80637,                0.89236,                0.71184,                0.67315,                 1.4346,                0.53566,                 1.1487,              0.0010793,              0.0010793,              0.0010793
                     96,                0.48921,                0.89001,                0.42253,                0.95599,                0.90736,                0.79856,                0.87519,                0.71766,                0.90881,                0.79983,                0.87489,                0.69747,                 0.6619,                 1.4132,                0.55055,                  1.151,              0.0010694,              0.0010694,              0.0010694
                     97,                 0.4781,                0.87156,                0.40933,                0.94901,                 0.8832,                0.81783,                0.87787,                0.72945,                0.90279,                0.81656,                0.88311,                0.70431,                0.63881,                 1.3895,                0.53085,                   1.13,              0.0010595,              0.0010595,              0.0010595
                     98,                0.48122,                0.86478,                0.41002,                0.94751,                 0.8881,                0.82907,                0.88081,                0.73061,                0.89416,                0.83312,                0.88271,                0.70875,                0.64854,                 1.3927,                0.53176,                  1.137,              0.0010496,              0.0010496,              0.0010496
                     99,                0.47286,                0.85917,                0.40218,                0.94382,                0.90723,                 0.8098,                 0.8811,                0.73539,                0.91409,                0.81329,                0.88326,                0.71347,                 0.6251,                 1.4062,                0.54873,                 1.1045,              0.0010397,              0.0010397,              0.0010397
                    100,                0.47811,                0.88285,                0.40055,                0.94375,                0.93931,                0.78981,                  0.888,                0.73933,                0.94141,                0.79832,                0.89008,                0.70945,                0.63489,                 1.3776,                0.54456,                 1.1155,              0.0010298,              0.0010298,              0.0010298
